date,location,time,lat_lon,is_floodprone,is_flooded,rainfall_1hr_prior,rainfall_2hr_prior,rainfall_3hr_prior,nearest_station_distance,rainfall_5min_prior,rainfall_10min_prior,rainfall_15min_prior,rainfall_20min_prior,rainfall_25min_prior,rainfall_30min_prior,rainfall_35min_prior,rainfall_40min_prior,rainfall_45min_prior,rainfall_50min_prior,rainfall_55min_prior
2023-02-15,101 Beach Road,1440,"1.2950131, 103.8554438",1,0,0.0,0.0,0.0,1.1475550500625091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-03,21 Sembawang Road,0030,"1.4029835, 103.8175563",1,0,0.0,0.0,0.0,3.1094344642500498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-21,Bedok South Road,0900,"1.319016, 103.9287316",1,0,0.0,0.0,0.0,0.7826038695026433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-19,Farrer Road,0928,"1.3174812, 103.807462",1,0,0.0,0.0,0.0,0.7948204331119425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-30,Telok Kurau Lorong N,1833,"1.3103244, 103.912805",1,0,6.0,0.0,0.0,0.5041978278482697,0.0,0.4,0.4,0.2,0.0,0.2,0.0,0.2,0.6,2.0,2.6
2023-04-22,South Bridge Road,2020,"1.2808659, 103.8445135",1,0,0.0,0.0,0.0,2.068430586073148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-09,Junction of Stevens Road and Balmoral Road,0655,"1.31301,103.8299083",1,0,0.0,0.0,0.0,0.7821623540122518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-27,Wan Tho Ave (Pheng Geck Ave),1455,"1.3321392,103.8700728",1,0,0.0,0.0,0.0,1.8214751375773668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,slip road from Stevens Road to Balmoral Road,2001,"1.3131229076135529, 103.83038429904742",1,0,0.0,0.0,0.0,0.7376008688925181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-20,Tampines Road [Jln Teliti],0109,"1.3611782,103.8910565",1,0,0.0,0.0,0.0,0.47500757291228446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,Admiralty Road West near Sembawang Shipyard Gate 3,0722,"1.4622687237794751, 103.81788714770472",1,0,0.0,0.0,0.0,2.9773366577886162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,Jalan Seaview,1310,"1.300828,103.8959163",1,0,0.0,0.0,0.0,0.9031753761286667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
