location,lat_lon
545 Upper Thomson Road,"1.3574465, 103.8289904"
453 Kallang Way,"1.3249544, 103.8767546"
121 Paya Lebar Road,"1.3298108, 103.8895947"
876 Upper Bukit Timah Road,"1.3564416, 103.7681987"
22 Tanjong Rhu Road,"1.2966874, 103.8690837"
999 Upper Thomson Road,"1.388523, 103.8182959"
556 Toa Payoh Lorong 1,"1.3394394, 103.8521099"
743 Bukit Timah Road,"1.3279746, 103.8045757"
832 Bedok Reservoir View,"1.3381922, 103.9346961"
111 West Coast Road,"1.3195428, 103.7411092"
456 Bedok North Street 2,"1.3271542, 103.9378138"
890 Yio Chu Kang Road,"1.3913074, 103.8575445"
123 Upper Boon Keng Road,"1.3163648, 103.8734106"
234 Serangoon Avenue 4,"1.3581732, 103.8713307"
432 Bukit Panjang Road,"1.3786493, 103.7697037"
534 Queenstown Road,"1.2932897, 103.8132567"
12 Telok Blangah Road,"1.2711353, 103.8076117"
65 Jalan Ang Mo Kio,"1.36917, 103.84972"
245 Clementi Avenue 4,"1.3205913, 103.7675153"
37 Selegie Road,"1.3044959, 103.8505072"
542 Tiong Bahru Road,"1.2872251, 103.8237853"
123 Bedok South Road,"1.319016, 103.9287316"
12 Pasir Ris Drive 1,"1.3646821, 103.9630813"
Telok Blangah Rise,"1.2740659, 103.8197003"
Serangoon Garden Way,"1.3666768, 103.8619064"
Holland Grove View,"1.3122802, 103.7828564"
Bukit Batok West Avenue 5,"1.3580312, 103.7430851"
Marine Parade Road,"1.3039187, 103.907145"
Jalan Jurong Kechil,"1.3413088, 103.7714731"
Woodlands Avenue 9,"1.4494251, 103.8008625"
River Valley Road,"1.2919861, 103.8450176"
Alexandra View,"1.290438, 103.8166561"
Compassvale Street,"1.395485, 103.8970824"
Bedok Reservoir Road,"1.3420806, 103.9374057"
Sims Drive,"1.3160278, 103.8780375"
Bishan Street 13,"1.3484727, 103.8546406"
Choa Chu Kang Avenue 2,"1.3780577, 103.7412621"
Dover Crescent,"1.3064062, 103.7828978"
Boon Tiong Road,"1.286453, 103.8311325"
Outram Road,"1.2817691, 103.8379248"
Upper Serangoon View,"1.3760756, 103.9039658"
Simei Avenue,"1.3428122, 103.9457919"
Jalan Membina,"1.2825794, 103.8260625"
Dakota Crescent,"1.3060352, 103.8849019"
Cantonment Road,"1.2791685, 103.8399094"
Bukit Merah View,"1.2835091, 103.8233249"
Bukit Purmei Road,"1.2721934, 103.8248687"
Queen's Road,"1.3224745, 103.8109854"
Stirling Road,"1.2972338, 103.8029165"
Tampines Street 83,"1.3512739, 103.9336654"
Yung Loh Road,"1.3275598, 103.7224669"
Pandan Gardens,"1.3195055, 103.748408"
Redhill Close,"1.2868163, 103.8181357"
Aljunied Crescent,"1.3200816, 103.8857246"
Bedok South Road,"1.319016, 103.9287316"
Farrer Road,"1.3174812, 103.807462"
Telok Kurau Road,"1.3076794, 103.9128927"
Serangoon Avenue 3,"1.3517837, 103.8700675"
Ang Mo Kio Street 61,"1.3797553, 103.8441424"
Mount Vernon Road,"1.3406176, 103.8796311"
New Bridge Road,"1.2790456, 103.8391381"
Hillview Avenue,"1.3617975, 103.7645391"
Bukit Panjang Road,"1.3786493, 103.7697037"
Toh Guan Road,"1.3410773, 103.7485101"
Holland Drive,"1.3092915, 103.7930064"
Paya Lebar Road,"1.3298108, 103.8895947"
Seraya Crescent,"1.3730254, 103.8278001"
Chai Chee Lane,"1.3300677, 103.9189125"
Jalan Sultan,"1.30382, 103.8608692"
Outram Park,"1.2806772, 103.8397858"
Punggol Field,"1.3956591, 103.9109446"
Jurong West Street 91,"1.3393795, 103.6900018"
Depot Road,"1.2805347, 103.816934"
Mei Chin Road,"1.2950798, 103.802763"
Tampines Avenue 4,"1.3526125, 103.945735"
Jalan Mas Puteh,"1.3091116, 103.7618894"
Lengkong Tiga,"1.3237444, 103.9124484"
Siglap Road,"1.307827, 103.9261927"
Sennett Lane,"1.3165507, 103.9365197"
Upper Changi Road East,"1.3341567, 103.9569739"
Lorong Ah Soo,"1.3520481, 103.8845867"
French Road,"1.3078174, 103.8611192"
Thomson Walk,"1.3761736, 103.8323914"
Eng Hoon Street,"1.283536, 103.8348143"
Lorong 8 Toa Payoh,"1.3402039, 103.8533898"
Hougang Street 51,"1.3770485, 103.8880876"
Jalan Chengam,"1.3736414, 103.8322612"
Bedok North Street 4,"1.332148, 103.9397453"
Woodlands Street 41,"1.4291898, 103.7730307"
Tampines Street 12,"1.350021, 103.94503"
Telok Kurau Lorong N,"1.3103244, 103.912805"
Selegie Road,"1.3044959, 103.8505072"
South Bridge Road,"1.2808659, 103.8445135"
Chin Swee Road,"1.2865138, 103.8393685"
Jalan Rumah Tinggi,"1.2876326, 103.8096701"
Bukit Ho Swee Crescent,"1.2866387, 103.8280699"
Upper Paya Lebar Road,"1.3427582, 103.8832588"
Bukit Batok Street 21,"1.3468026, 103.7556251"
Lorong Limau,"1.3235431, 103.8547672"
Jalan Tenaga,"1.3334812, 103.9061112"
